restaurant_id,restaurant_name,cuisine_type
271,The Chocolate Room,Cakes
272,Mealy - Your Everyday Meal,All Day Breakfast & Snacks
273,Big Bowl,Drinks
274,6 Ballygunge Place Takeaway,Biriyani Special
275,Gangaur Next,Dry Namkeens
276,Palaaram,Fried Rice And Noodles
277,Freshmenu,Sandwiches And Wraps
278,Lunchbox - Meals And Thalis,Executive Lunchbox
279,Sweet Truth - Cake And Desserts,Party Combos
280,Ks Bakers,Bakers Choice
281,Theobroma,Breads
282,"Bhatti Chicken - Grilled, Not Fried!",Desserts & Drinks
283,Confucius (Silpukhuri),Recommended
284,Tea Post,Sandwich
285,Wooden Plate,Wooden Plate Add- Ons
286,Gokul Oottupura,Quick Bites
287,Hotel Toshali,Recommended
288,Radha Krishna,Beverages
289,Hotel Annalakshmi,Breakfast
290,Tan-Sukh By Kanha,Rice And Biryani
291,Bambusa Express,Sides
292,Mcdonald'S,Mexican Range & New Offerings
293,Royal Veg. Hotel,Recommended
294,Madhurima Veg,Baked Snacks
295,Nh1 Bowls - Highway To North,Everyday Classics
296,Veg Sizzel'S,Tandoori Snacks
297,Vip Sweets Pvt. Ltd.,Cham Cham
298,Oven Story Pizza,Super Saver Deals
299,The Chicken Wagon,Single Order
300,Agra Sweets Banjara,Signature Sweets
301,Pizzaexpress,Garlic Breads & Starters
302,Kfc,Epic Value Meals For 1-2 (Up To Rs 22% Off)
303,Bikanervala,"Chaat, Snacks & Quickbites"
304,Theobroma,Croissants & Danishes
305,Kalsang Friends Corner,Soup
306,Lunchbox - Meals And Thalis,Starters
307,Lacima Cafe & Pizzeria,Pasta
308,Veer Ji Malai Chaap Wale,Soya Gravy Items
309,The Phoenix Residency,Starters Non Veg
310,Zaatar Arabic Restaurant,Platters
311,Caterspoint,Rice Meal Bowl
312,Nh1 Bowls - Highway To North,Veg Rice Bowls [Masala Rice]
313,Eatfit,3 Layer Rice Bowl
314,Shree Gangaur,Snacks
315,Mcdonald'S,Happy Meal
316,Kingdom Of Momos,Classic Momos
317,Srivari Bhimmas,Fried Rice
318,Mithaas,Sweet
319,Saurashtra Chawana & Sweets,Milk Sweets
320,Amritsari Food Platter,Shakes And Lassi
321,Itc Master Chef Creations,Recommended
322,Dum Safar Biryani,Half Biryani
323,Mahalaxmi Sweets,Sweets
